id;lat;lon;gravita
1;44.666054429152695;10.30829538431358;0
2;44.666054429152695;10.314600276601151;0
3;44.67055385474577;10.295691940856468;0
4;44.67055385474577;10.30199732092235;0
5;44.67055385474577;10.308302700988232;0
6;44.67055385474577;10.314608081054114;0
7;44.675053276779224;10.295698283459611;0
8;44.675053276779224;10.302004151418043;0
9;44.675053276779224;10.308310019376474;0
10;44.675053276779224;10.314615887334906;0
11;44.675053276779224;10.320921755293337;0
12;44.679552695253065;10.295704627548258;0
13;44.679552695253065;10.302010983513508;0
14;44.679552695253065;10.308317339478759;3.5
15;44.679552695253065;10.31462369544401;0
16;44.679552695253065;10.32093005140926;0
17;44.679552695253065;10.32723640737451;0
18;44.68405211016727;10.295710973122869;0
19;44.68405211016727;10.302017817209244;0
20;44.68405211016727;10.308324661295618;0
21;44.68405211016727;10.314631505381993;0
22;44.68405211016727;10.320938349468367;0
23;44.68405211016727;10.327245193554742;0
24;44.68855152152186;10.295717320183838;0
25;44.68855152152186;10.302024652505672;0
26;44.68855152152186;10.308331984827506;0
27;44.68855152152186;10.31463931714934;0
28;44.68855152152186;10.320946649471173;0
29;44.68855152152186;10.327253981793007;0
30;44.68855152152186;10.33356131411484;0
31;44.69305092931682;10.295723668731604;0
32;44.69305092931682;10.302031489403266;0
33;44.69305092931682;10.308339310074928;0
34;44.69305092931682;10.31464713074659;0
35;44.69305092931682;10.320954951418251;0
36;44.69305092931682;10.327262772089913;0
37;44.69305092931682;10.333570592761575;0
38;44.69755033355215;10.295730018766582;0
39;44.69755033355215;10.302038327902473;0
40;44.69755033355215;10.308346637038364;0
41;44.69755033355215;10.314654946174254;0
42;44.69755033355215;10.320963255310145;0
43;44.69755033355215;10.327271564446036;0
44;44.69755033355215;10.333579873581927;0
45;44.70204973422785;10.302045168003765;0
46;44.70204973422785;10.30835396571832;0
47;44.70204973422785;10.314662763432874;0
48;44.70204973422785;10.320971561147429;0
49;44.70204973422785;10.327280358861984;0
50;44.70204973422785;10.333589156576538;0
51;44.70654913134391;10.2894334368922;0
52;44.70654913134391;10.295742723299883;0
53;44.70654913134391;10.302052009707566;0
54;44.70654913134391;10.30836129611525;0
55;44.70654913134391;10.314670582522933;0
56;44.70654913134391;10.320979868930616;0
57;44.70654913134391;10.327289155338299;0
58;44.70654913134391;10.333598441745982;0
59;44.70654913134391;10.371454160192082;0
60;44.71104852490034;10.270509976937795;0
61;44.71104852490034;10.276819752153106;0
62;44.71104852490034;10.283129527368416;0
63;44.71104852490034;10.289439302583727;0
64;44.71104852490034;10.295749077799037;0
65;44.71104852490034;10.302058853014348;0
66;44.71104852490034;10.308368628229658;0
67;44.71104852490034;10.314678403444969;0
68;44.71104852490034;10.32098817866028;0
69;44.71104852490034;10.32729795387559;0
70;44.71104852490034;10.3336077290909;0
71;44.71104852490034;10.358846829952142;0
72;44.71104852490034;10.365156605167453;0
73;44.71104852490034;10.371466380382763;0
74;44.71554791489713;10.251583584824822;0
75;44.71554791489713;10.257893848962292;0
76;44.71554791489713;10.264204113099762;0
77;44.71554791489713;10.270514377237232;0
78;44.71554791489713;10.276824641374702;0
79;44.71554791489713;10.283134905512172;0
80;44.71554791489713;10.289445169649643;0
81;44.71554791489713;10.295755433787113;0
82;44.71554791489713;10.302065697924583;0
83;44.71554791489713;10.308375962062053;0
84;44.71554791489713;10.314686226199523;0
85;44.71554791489713;10.320996490336993;0
86;44.71554791489713;10.327306754474463;0
87;44.71554791489713;10.333617018611934;0
88;44.71554791489713;10.339927282749404;0
89;44.71554791489713;10.346237546886874;0
90;44.71554791489713;10.352547811024344;0
91;44.71554791489713;10.358858075161814;0
92;44.71554791489713;10.365168339299284;0
93;44.71554791489713;10.371478603436755;0
94;44.71554791489713;10.377788867574225;0
95;44.720047301334276;10.23896501269677;0
96;44.720047301334276;10.245275765870963;0
97;44.720047301334276;10.251586519045155;0
98;44.720047301334276;10.257897272219347;0
